,language,percentage
0,JavaScript,48.60398275508109
1,SQL,47.14637651406282
2,jQuery,42.17819749538083
3,C#,31.071648532128926
4,Java,30.999794703346335
5,PHP,23.855471155820158
6,Python,19.297885444467255
7,C++,17.40915623075344
8,C,14.740299733114352
9,Objective-C,9.802915212482038
10,Ruby,8.150277150482447
11,Node.js,6.148634777253131
12,JQuery,2.453295011291316
