<<<<<<< HEAD
,Unnamed: 0,language,percentage,survey_year
0,0,JavaScript,55.319407212584096,2018
1,1,HTML,54.2491527995549,2018
2,2,CSS,51.5694704364979,2018
3,3,SQL,45.18739568054221,2018
4,4,Java,35.932426280916495,2018
5,5,Bash/Shell,31.53305346214152,2018
6,6,Python,30.71063679125993,2018
7,7,C#,27.26619796671893,2018
8,8,PHP,24.349805270345456,2018
9,9,C++,20.102169844722063,2018
10,10,C,18.250973648272723,2018
11,11,TypeScript,13.78382479389004,2018
12,12,Ruby,8.002630114814629,2018
13,13,Swift,6.383086338576703,2018
14,14,Assembly,5.826715897020889,2018
15,15,Go,5.596075059430479,2018
16,16,Objective-C,5.573820241768247,2018
17,17,VB.NET,5.31485509078954,2018
18,18,R,4.868747154923878,2018
19,19,Matlab,4.616863082292246,2018
20,20,VBA,3.854129786050276,2018
21,21,Kotlin,3.548631834505083,2018
22,22,Scala,3.459612563856153,2018
23,23,Groovy,3.412068180668656,2018
24,24,Perl,3.317990996914673,2018
25,25,Visual Basic 6,3.1227555510596328,2018
26,26,Lua,2.7646553032218906,2018
27,27,CoffeeScript,2.633149562490517,2018
28,28,Delphi/Object Pascal,2.048454807546406,2018
29,29,Haskell,1.98371351980173,2018
30,30,Rust,1.8785089272166304,2018
31,31,F#,1.1279146224267866,2018
32,32,Clojure,1.0439532648829093,2018
33,33,Erlang,0.8962622022153659,2018
34,34,Cobol,0.5968337463962369,2018
35,35,Ocaml,0.4754438318749683,2018
36,36,Julia,0.4349805270345455,2018
37,37,Hack,0.256941985736685,2018
=======
,Unnamed: 0,language,percentage,survey_year
0,0,JavaScript,55.319407212584096,2018
1,1,HTML,54.2491527995549,2018
2,2,CSS,51.5694704364979,2018
3,3,SQL,45.18739568054221,2018
4,4,Java,35.932426280916495,2018
5,5,Bash/Shell,31.53305346214152,2018
6,6,Python,30.71063679125993,2018
7,7,C#,27.26619796671893,2018
8,8,PHP,24.349805270345456,2018
9,9,C++,20.102169844722063,2018
10,10,C,18.250973648272723,2018
11,11,TypeScript,13.78382479389004,2018
12,12,Ruby,8.002630114814629,2018
13,13,Swift,6.383086338576703,2018
14,14,Assembly,5.826715897020889,2018
15,15,Go,5.596075059430479,2018
16,16,Objective-C,5.573820241768247,2018
17,17,VB.NET,5.31485509078954,2018
18,18,R,4.868747154923878,2018
19,19,Matlab,4.616863082292246,2018
20,20,VBA,3.854129786050276,2018
21,21,Kotlin,3.548631834505083,2018
22,22,Scala,3.459612563856153,2018
23,23,Groovy,3.412068180668656,2018
24,24,Perl,3.317990996914673,2018
25,25,Visual Basic 6,3.1227555510596328,2018
26,26,Lua,2.7646553032218906,2018
27,27,CoffeeScript,2.633149562490517,2018
28,28,Delphi/Object Pascal,2.048454807546406,2018
29,29,Haskell,1.98371351980173,2018
30,30,Rust,1.8785089272166304,2018
31,31,F#,1.1279146224267866,2018
32,32,Clojure,1.0439532648829093,2018
33,33,Erlang,0.8962622022153659,2018
34,34,Cobol,0.5968337463962369,2018
35,35,Ocaml,0.4754438318749683,2018
36,36,Julia,0.4349805270345455,2018
37,37,Hack,0.256941985736685,2018
>>>>>>> aec98b28db0555577ad5607347494f40118e8fd4
